#{"t_start": 1676009163.814888, "env_id": null}
r,l,t
-226.0,245,605.043452
117.48,343,606.409832
-119.0,542,608.706291
325.0,434,610.620317
-208.44,318,612.209539
-185.0,451,614.270712
-260.0,347,615.484204
-140.0,325,616.898721
-126.76,262,618.271697
-143.08,351,619.726233
-194.88,354,621.49121
-216.0,392,623.188671
-147.64,353,624.61728
-239.8,232,625.93215
-156.0,314,627.733817
241.8,349,629.213661
429.0,296,630.789995
-129.88,626,633.790363
-262.76,248,634.878242
307.56,230,636.249939
-111.0,344,638.050385
-182.0,309,639.344798
-217.0,343,641.092466
449.0,267,642.083245
-172.0,348,643.646116
-217.0,421,645.786859
-163.88,364,647.775902
-160.8,474,650.160026
-174.0,371,651.774953
421.0,395,653.861589
517.96,223,654.830343
261.48,258,656.325874
-109.0,314,658.079081
-109.2,335,659.317607
485.0,189,660.28899
-108.24,434,662.14102
209.0,387,664.095759
-211.0,270,665.587903
-95.56,499,667.719062
-119.0,462,670.016632
-130.0,236,670.986811
385.0,305,672.661162
-172.0,201,673.390005
-112.0,406,675.159351
-218.24,205,676.043189
-250.0,365,677.913904
-243.0,286,679.491905
125.16,286,680.648702
-109.0,378,683.063469
-109.0,378,684.266884
-109.0,378,685.489557
-109.0,378,686.66776
-109.0,378,687.876913
-109.0,378,689.058751
-109.0,378,690.265663
-109.0,378,691.45259
-109.0,378,692.64674
-109.0,378,693.853014
